county,embedding
Adams Illinois,"-0.05869211,-0.039460136,-0.0018377209999999988,-0.0020015315000000023,0.0245620995,-0.0106105475,-0.01123353595,0.0087688155,0.019484229999999998,0.011395649300000001,0.0006223764499999999,0.0124775676,0.015117552499999999,0.0017617259499999997,-0.0015471367,0.004070907800000001,-0.010831721825,-0.00690999595,-0.010105571300000001,0.0007628005500000001,0.0006134924999999999,0.0083092128,0.0041951921,0.0045073296,0.0104784355,0.00840447495,0.00382755515,0.014885439,0.00292191425,0.00020975205000000035,-0.00266077575,0.01232246205,0.00480841135,0.00373317325,0.0022103527000000003,-0.00957833815,-0.0048883391500000005,-0.00070800495,0.00502971695,0.0041700887265,0.004623503706499999,0.0039200138,-0.01018284459,-0.0048354174,0.0026365562500000003,0.00935855555,-0.0049634212,0.00112315545,-0.00866934011,-1.72717155"
Adams Indiana,"-0.0470760705,-0.019401995499999998,0.02641522895,0.008372096499999999,-0.033390292,0.0193494243,-0.00755803725,-0.0021972898500000003,0.0060583119,0.013908266499999999,0.005760436650000001,0.0037299184999999993,-0.01203931695,0.00153143495,0.011016190385000001,-0.0032560533500000004,-0.00129458421,-0.01251789725,-0.0010473373999999999,-0.00557608845,-0.0020091881499999997,-0.002039957831,0.0050314556,-0.006287880500000001,0.0020276931999999998,0.0042691767,-0.006369525799999999,-0.0039058433500000003,-0.002015663209,0.0070139908,0.006880082275,0.0007965085,0.00011853676999999999,0.0025690096599999997,-0.0017847061499999999,-0.00085233725,-0.0046231026,-0.0025756389,0.005565075385,-0.0029106443999999997,0.0034854291,-0.00260123965,-0.0012272015349999998,0.00327597805,0.00101463914,0.00260570866,-0.00703577365,0.00294316386,-0.00349905525,-0.26621099999999975"
Adams Iowa,"0.015363898000000004,0.0700738996,0.02537853595,-0.01017806825,-0.023754228199999998,0.0136269053,0.01790604605,0.030140489200000002,0.01511937205,0.0019731268000000007,-0.023569660800000003,0.0323998038,0.010276180875,-0.002818336235,0.01151448769,0.01000849484,0.0150606593,0.01667846275,-0.01599888505,0.02010387815,0.003333880015,0.0037232555500000004,-0.001496496515,0.00509942327,-0.0012916336500000004,-0.01128567355,-0.00846243413,0.01075756525,0.003924081999999999,-0.010114624065,0.0015591705899999997,-0.00288547422,0.0020693383849999998,0.001143818455,-0.022649404515000002,-0.000893851425,-0.00229594386,-0.01138933307,0.0023887148200000003,-0.0009846027050000004,0.0023289152695,-0.001490659065,-0.023512426660000002,-0.001255695065,0.00512064265,-0.00024207992149999997,0.00015288489175,0.004279631895,-0.001136143889,-1.69983131"
Adams Mississippi,"-0.014057375399999999,-0.020711432284999998,-0.01867028885,0.0249607638,0.01611162265,-0.010301973249999999,0.0240530381,-0.010892910915,-0.005404204334999999,-0.007569352485500001,-0.005570882635,0.01792736299,0.00827927695,0.005502144655,0.002702995065,0.004429086875,0.000516744,-0.003544009055,0.00021221650000000005,0.008862569399999999,0.00470144231,-0.0038750290000000003,0.010000607485,0.0078416425,-0.00034839854499999975,0.0014081660090000002,0.00477463855,0.0038330581250000002,0.004039915175,0.002059208545,-0.0030306841700000003,-0.0003428024549999998,0.00356656433,-0.00954299888,-0.0025935651004999997,-0.005964130525,-0.00806359014,-0.000999328435,-5.625113500000006e-05,0.00529966466,-0.00092916762,-0.0041070473335,-0.0016642555059999998,-0.004189969585,0.0022685939899999997,-0.0018967994829999998,-0.0050367619094999995,0.00197515238255,-0.0030477522825500003,3.06041536"
Adams Nebraska,"-0.015102377,0.0013546370000000005,-0.018070344999999998,0.0356581495,-0.004008897,-0.00585158265,-0.010618049000000001,0.0090526406,0.0289723735,0.020510567,0.0047498775,-0.001655152499999998,0.0008812965500000001,0.0025519175000000005,0.01216488985,-0.0047948044,0.010468486499999999,0.00243278635,-0.00489000915,0.00535675215,0.00029506995,0.0014321124499999999,0.0017168856500000002,-0.0128475524,0.00928646905,-0.00247320125,-0.0086842092,-0.00528610265,-0.008120778450000001,0.0028870862949999998,-0.0034235093,0.0085346325,-0.00202187975,0.00179010245,0.0033096073,0.00098894515,-0.0133141887,0.00202805865,-0.0007539928999999999,0.0001063269,0.0076230467,0.0025326128,0.0072337652499999995,0.007308336015,0.0051618696000000006,-0.0016328052815000002,0.00782976505,0.002456995535,-0.00638370765,-0.5247994"
Adams North Dakota,"0.021266120500000003,0.13542337,-0.04234238665,-0.012097819199999998,-0.0090216059,-0.0466738292,0.020647077549999997,0.0072600897,-0.04238140925,-0.029741543999999998,-0.0291205667,0.03804713285,-0.0021671301950000003,-0.014623048465,0.002500799445,-0.008125553,-0.006247837425,0.00218567986,0.008922986859999999,0.01354095457,-0.01337762901,-0.008401975305,0.01460484351,-0.016119482095,-0.002792890935,-0.004131743095,-0.01780747475,-0.004728898079,0.009590417716499999,0.001285608845,-0.007399870281,0.00350511837,0.008931883871,-0.0019099576850000002,-0.00036095798427499996,-0.02377933809,-0.0023867733149999996,0.0043923358585,-0.0031805626375,0.019927291957,0.007800990912,-0.010774812836,0.016263937536,-0.036831382587499996,0.0020864535625,-0.001952360661,-0.002809729785,0.0015628298775,-0.0156827746945,-1.4059472849999999"
Adams Ohio,"-0.0314354404,-0.0015126415175,0.02843716645,-0.0005491650500000014,-0.0340000405,0.02389582135,-0.0056646818500000005,0.01844671985,-0.00442738814,-0.00273909056,0.00436678128,-0.0073536728499999995,0.00090937686,0.0111379707,-0.005596519555,0.00422172036,0.0089109421,0.0071785458,-0.010091199700000001,-0.0046996427975,-0.0008587990849999998,-0.00852464378,0.0064089866950000005,-0.00160858223,0.00043891185,0.011856007035,-0.0045884809465,0.00679516217,0.0004962353249999998,0.003887007685,0.00787776992,0.003901543660465,0.0032969221805,0.004921342230500001,-0.008212617295,-0.00310662524,-0.0058064818005,-0.0038379812599999997,0.002863927675,0.0015614204500000001,0.0037844494115,0.006366884225,-0.005220936855,-0.0015117516949999998,-0.007230083318,0.0066093516155,0.005903031674,-4.6962296499999996e-05,-0.003271409655,0.52644998"
Adams Pennsylvania,"-0.04781995,0.033290639999999996,0.034923075,-0.012892075,-0.004828375,0.036023465,0.01607107,0.011641454999999998,-0.011624565,0.019565525,-0.013355825,0.00046888,0.01627025,0.005061865,-0.003026215,-0.0029546699999999995,-0.0058334699999999995,-0.013526409999999999,0.006630215,0.0028228150000000002,0.00877182,-0.00578649,-0.00205055,-3.921999999999997e-05,0.0005748349999999999,0.006252855,0.002527675,0.0053945799999999995,0.00153696,-0.003992275,0.0036333199999999998,-0.0066352600000000005,-0.0036983999999999997,0.0058270200000000005,0.0027521,-0.0038027850000000004,0.00327107,0.006381025,-0.00159917,-0.00378199,0.003296055,-0.0030659399999999996,-0.004797350000000001,0.0016614199999999998,-0.00510458,0.00494003,-0.0006922499999999999,-0.00470283,-0.0056601049999999995,0.0025865000000000003"
Adams Washington,"0.0201631375,-0.031474539499999996,0.0189250045,-0.00397744325,-0.006701089,0.0022704085000000004,-0.0092991965,-0.0023982915,0.005994106000000001,0.010841626,-0.0021682593,0.010363196500000001,0.004546878250000001,-0.001055091,0.0004911929,-0.0062821932,0.0072820865,-0.00427422716,-0.01132449025,0.00124392023,-0.00163296539,0.00453356345,0.00312493011,-0.00621351945,0.0097944511,0.00268459865,0.0043116944,0.0059973755,0.0044478142499999995,0.0014399508499999998,-0.0021617270500000002,-0.0018246493500000001,0.0071269166500000005,0.0087656925,-1.3033000000000185e-06,-0.0003207920500000001,-0.002598504155,-8.970104999999999e-05,0.003739112021,-0.0022449345,0.010093028249999999,0.0038112079,-0.00453424955,-0.0052917122,-0.00361073295,0.007791506755000001,-0.00034556319999999997,-0.00518873499,-0.0142949498,-1.43604635"
Adams Wisconsin,"0.034430575,0.128675495,0.011758285,-0.017659789999999998,-0.0035014950000000003,-0.018848225,-0.01645953,0.020085115,-0.005746175,-0.008873490000000001,0.029061455,0.0023919249999999996,0.01137022,0.00048233499999999997,0.003578,0.00783689,-0.004006325,-0.0009181749999999998,0.001000605,0.0023928250000000003,-0.0007310250000000006,0.012344029999999999,0.004706435,-0.003969765,0.0009767550000000002,-0.0027172000000000003,-0.008420875,0.003525795,-0.00402345,-0.002147605,-0.007160435,0.0069409649999999995,0.00987765,-0.00011388000000000001,-0.0020672750000000004,0.0003725550000000001,-0.00283108,-0.0043433,0.00410789,-0.00021396000000000002,0.002783855,0.00580152,-0.002231355,-0.0018708149999999998,-0.0024173050000000002,-0.003753125,-0.005852485,7.919999999999997e-05,-0.00176611,0.00037410000000000004"
Addison Vermont,"0.0567581003,0.007932406,0.02919105855,-0.02121346865,-0.022072766,0.0234233269,0.0251888772,-0.0170093911,-0.009598342550000001,0.0180067289,0.0066427879499999995,0.0130438711,0.0020436984,0.003928567175,-0.0059587576,0.012158073,0.0040988239265,0.021295705749999998,-0.00133287605,0.006448215315,0.0009214991999999993,0.003845422735,8.378386000000007e-05,0.007516314285000001,0.00637483965,-0.0038877471900000005,0.001252251555,-0.0046683459,-0.00436779185,-0.0082567308,0.0042881794499999995,0.0034770186755000002,0.00812730085,4.3373800000000035e-05,-0.00576371374,-0.00384087472,0.004936648070000001,-0.0012964971950000003,-0.00159551174,0.00149092483,-0.00092522936005,-0.0011196681349999998,0.004836572355,0.0027315962235,-0.00124671788,0.005359750934999999,0.0033510627500000006,0.0062303852899999995,0.00219899033,0.0751570199999998"
Aiken South Carolina,"0.0355595745,-0.00458274265,-0.019533178499999998,-0.005400609,0.01409916075,-0.01869184,-0.01151806205,-0.0085769465,-0.0051812915,0.00491778085,0.018346427,-0.0119349505,0.010456973250000001,-0.0034153622999999996,0.000769493945,-0.007151786,-0.0016089863,0.0038425846000000002,-0.00823778195,0.0168394266,-0.006064125050000001,-0.00746635526,0.0003191286499999999,0.00153580225,0.0052831099,0.0009312586199999999,0.004263371,0.00626828635,0.0015832868499999998,-0.00453445175,0.0062701195,-0.0027611207000000004,-0.00559854515,-0.0021466289999999997,0.000487700045,0.001833928625,-0.0054471569,0.00152491425,0.0061054322748,0.00201645815,-0.0066695789000000005,0.0017513095000000001,-0.00541041005,-0.0062032272950000005,-0.00015081917,-0.0017572008,-2.674029999999997e-05,0.0011123244,0.00096655145,-0.5885298"
Aitkin Minnesota,"0.05924195249999999,0.09412832,0.012399226000000001,-0.037062292499999996,-0.0232249065,0.005421782,-0.01123216235,-0.010627088,-0.00141334455,0.005392953000000001,0.013703163,-0.008971705,0.0007362565,0.0026299419,-0.0033770937,0.0089853,-0.0046523185000000005,0.0092592039,-0.00502988415,-0.000467384458,0.0015456784999999997,0.007747522,0.00036611814999999996,-0.0103863205,-0.0077021355,0.0130840675,-0.0017796485500000002,0.0020004376500000003,-0.0004534748500000001,-0.009086509,0.00443900355,0.00294349915,-0.0078433935,-0.0018825,0.00021670004999999992,-0.00215754875,0.0033734618,-0.0104181185,-0.010827717,0.009459351,0.0024940364499999998,0.0017533892499999996,-0.0045011505,-0.0104438585,-0.005624824,-0.0043260880499999994,0.00039168980000000013,0.0005227478500000001,0.0019528121000000002,1.08084405"
Alachua Florida,"-0.0085205345,-0.06084379350000001,0.0023729065000000008,0.0027987079499999998,0.0135877845,-0.0193918605,-0.0240098865,-0.0177560195,0.022192509,-0.0046088175,-0.015400090140000001,0.0044144580000000004,-0.0057090784,-0.00734915755,-0.0109714803,-0.016967928900000002,0.00272285645,-0.0017956265,-0.0025991555950000004,-0.0059952420000000005,-0.01089169134,0.009037160915,0.0013774587,-0.00113644785,-0.009995445625,-0.009583147,0.01700467019,0.00035443085000000005,-0.00693046656,-0.00681356395,-0.0183523872,-0.0051997178,-0.0038578792,-0.0085900817,0.01092579345,0.014762127100000001,-0.00115728208,-0.003477155956,0.01125684905,0.00145872025,-0.004868018875,-0.004415620130000001,-0.007859372989999999,0.022643042204999998,0.001018504405,0.0070643670549999996,-0.0017971034245,-0.00328469385,0.003199091315,-0.90405765"
Alamance North Carolina,"0.007101216099999999,-0.04134898665,-0.0185242249,0.0191589604,0.0027115507500000005,-0.00544739331,-0.005310780349999999,0.0145197842,0.0013076917500000002,0.009584673890000001,0.004491746125,0.0153321537,-0.0019039947399999996,-0.00946081745,0.0025315967,-0.00062575574,-0.0038943953858,0.0017312603150000001,7.202123999999971e-05,0.006297952900000001,-0.008426086535,0.0014393964899999997,0.006808309505,-0.0105647596,0.0020839104850000002,0.0012770396349999998,0.00420198357,-0.0005908343300000001,-0.002875003135,-0.0020169844265,-0.0005607926649999999,0.00769031846,0.008964031939999999,-0.0016654735650000001,0.006031083295,-0.0055121464949,-0.00299095895,-0.0020613746299999996,0.010818611124999999,0.0048630955845,0.0033440798799999998,-0.00047962729,-0.0022630736,0.001079009685,0.00048220006499999986,-0.00016252723000000004,-0.005393848645,0.0028465989400000002,0.004384791858,1.3008399"
Alameda California,"-0.014322896500000001,-0.185597172,0.037529691000000004,-0.01860984875,-0.0288909332,-0.05223384625,0.037247275639999994,0.00591636905,0.01944478325,-0.00198423385,0.01645742215,-0.01549119945,0.01998806085,-0.008570923309999999,-0.0031347972500000002,-0.00743646435,-0.0012048941049999998,-0.000818965566,0.0109974596,0.018986870875000002,0.00039195338,-0.00460986081,0.010833008485,-0.002465882765,-0.00548552175,0.0048935672225,0.00810404381,-0.000880287707,0.009277388215,-0.014507843745,-0.0007878308829999999,-0.007889309885000001,-0.0035347346650000003,0.0006978113700000003,-0.00456681616345,-0.0162149631,-0.0029633593349999996,0.00396608096,0.01405325977,0.0023195399949999997,0.00029042479500000014,0.0038167641100000003,0.0031576853719999997,-0.001175871504,-0.000403532745,-0.0040520565300000005,0.00170823419,-0.0028887702059999998,0.005341476518499999,-2.35837566"
Alamosa Colorado,"0.005254407500000001,-0.0429396095,0.002212464000000001,0.019286844499999997,-0.0158089485,-0.00975900105,0.0057558979,-0.0142487706,0.0097314485,-0.0024195564999999995,0.008959564400000002,0.0010946535000000007,0.0039081432,-0.00434800545,-0.002782422999999999,0.0015076741500000001,0.0045917751,0.009799624,-0.0033805987999999997,-0.0039091295000000005,-0.00031576627,0.01047364315,-0.0133318063,-0.0058285093000000005,0.0010620680000000002,-0.01375802,-0.0030484694499999998,0.006311539099999999,0.00598522015,0.00015560050000000005,-0.0029704678,-0.0035568029000000003,-0.00021051239999999986,-0.007799048,0.0104440695,-0.00324590135,-0.0011244547300000001,-0.001410622,0.0035220291,0.0057348467,0.0006621367499999998,0.00222448975,-0.010587713300000001,-0.0060461383,0.00035549119999999995,0.000643100485,-0.0005252700999999998,0.0006204624549999999,0.00473316485,3.20886675"
Albany New York,"-0.011269437,-0.035456957,0.024469956,0.0090613634,-0.031907772,0.004062068,0.010460137,0.033276976,-0.014618949999999999,-0.0162433635,0.00932653875,0.002882873999999999,0.00387986575,-0.012501924000000001,0.0023387254999999996,0.02417118025,0.0034943119000000003,0.007616382624999999,-0.0026235868999999997,0.0103079419,0.01607845935,-0.01138374345,-0.0028286537049999998,0.0145124766,0.0073476507000000005,-0.006593477800000001,0.0207839857,-0.00257795605,0.0012150313999999998,0.00219858505,-0.0002772236775,-0.006920245895,-0.00021520745000000018,-0.0027705019999999998,-0.00198292855,-0.004091091455,-0.0020709466,0.0008840547,0.01115074205,0.0010540509,0.00238242005,0.00332286655,0.005907889095,0.00286914922,0.013205484,0.008982010476849999,-0.00581060296,-0.00078576962,0.0031127198449999996,-0.47925030000000013"
Albany Wyoming,"0.02225577924,-0.013688582925000001,0.00700938045,0.0005703167999999998,-0.0025082361,0.02283485745,-0.01972552905,-0.01261671118,-0.008122414815,0.013281715545,0.008856449034999998,0.01671993775,-0.012855889025000001,0.02291174,-0.009090575787500001,0.005238140728,-0.008528794615,0.011803733523000001,0.00700652553,-0.0032051049649999995,0.009817966769999999,-0.004596900413000001,-0.0009816801499999998,0.005820557184999999,-0.0030563265014999998,-0.00814691417,0.002147093435,-1.5794180000000112e-05,-0.0020236088605,0.00286448736535,0.0042873027299999995,-0.002136850205,0.0043169808335,-0.00140298019,0.00516623085,0.0072925433049999995,0.0022840559395,-0.00366551476,0.0068165428095,-0.0005342477825,0.003784750851,-0.00676369353,-0.0027030522775,0.00525471475,0.0039536142750000005,-0.000683636927,-0.008682797195,0.00236274465,-0.0009013559862000001,-5.670828105"
Albemarle Virginia,"0.0036254549999999997,-0.009656075,0.00798916,-0.004434990000000001,0.01035107,0.01954218,0.009924735,-0.0059878299999999995,-0.01699937,0.009887594999999999,0.005144455000000001,0.021603055,0.00359939,0.0014232050000000003,-0.0016625049999999999,-0.00520915,-0.002420255,0.007105780000000001,0.00246142,0.010874875,-0.006341655,0.011715844999999999,0.0019790249999999997,0.00615099,-0.004685385,0.0003106700000000001,-0.007494299999999999,-0.003669525,-0.009796385000000001,-0.00031826,-0.0024804799999999998,-0.00754526,0.00063725,0.0053309049999999995,-0.0031236050000000002,0.005269565,0.00444297,0.007532435,0.00536927,0.0003037299999999999,0.00260044,-9.05900000000002e-05,-0.00033849500000000007,-0.00014751,0.002448445,-0.00235036,0.003453675,-0.00544556,-0.00019388499999999998,-0.004793899999999999"
Alcona Michigan,"0.06711795499999999,0.11101380250000001,0.008400004999999999,-0.028368879000000003,-0.0019460198499999994,0.0196798035,0.00427508005,-0.0122537765,-0.014437061000000001,0.023848843499999998,-0.036533488,-0.021903354,-0.011821308999999999,0.00084159753,-0.00013534399999999992,0.002067269000000001,-0.01091226955,0.0020756548,0.01836525735,0.0037671599499999996,0.012157414194999999,0.00156886945,-0.0021377982,-0.00581453265,-0.004747318265,-0.0024294535500000002,0.0037415091225000002,0.005082585650000001,-0.0133654654,-0.00511198055,-0.00049255989,0.00684259827,0.002956761195,-0.01377567605,-0.006235694015,-0.00209239407,-0.0024046213,0.0019206248050000002,0.004114957265,0.008445861629999999,-0.006106382289999999,-0.0108186400245,-0.012082780815,0.00037432845,0.0009712709000000001,-0.004016608755,-0.0037010633700000004,-0.001321822705,0.0017857969700000001,-0.74167595"
Alcorn Mississippi,"-0.0249312875,-0.022140554,-0.030114065000000002,0.0087148255,0.0385267255,0.0052581155,-0.015175375500000001,0.005365676749999999,-0.024280412499999997,-0.0065287265,-0.0053070985,0.0078155055,0.0045539905499999995,-0.00516605915,-0.00083339721728,0.00656081,-0.0153961505,-9.782829000000003e-05,-0.00661766632,0.015447791999999998,0.00478977715,-0.0065972188000000005,0.0060674592,0.0036681496999999997,-0.0035927970000000004,0.0032131315499999997,8.527785e-05,-0.0016204356,-0.006807092305000001,0.00034698605,0.0072098817,-0.0007711648499999999,0.0019389348500000003,-0.0081073379,0.00625060225,-0.0022055850749999996,0.0014617437299999998,0.0013538839900000001,0.00583376881,0.00028837210000000004,-0.00206572904,0.0040028873575,-0.01502050225,-0.00187069145,-0.0022778036,-0.001518445,0.001748640215,-0.00217505096,0.00181534817,-3.4261314499999997"
