"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Ethnic or cultural origin","  African Caribbean",,   385,"",   220,"",   165,"",
"Ethnic or cultural origin","  East or Southeast Asian, n.o.s.",125,  2155,"",  1090,"",  1065,"",
"Ethnic or cultural origin","  West or Central Asian or Middle Eastern, n.o.s.",126,   685,"",   350,"",   330,"",
"Ethnic or cultural origin","  Caribbean, n.o.s.",127,   410,"",   175,"",   235,"",
"Ethnic or cultural origin","  Algonquin",,   135,"",    70,"",    65,"",
"Ethnic or cultural origin","  West Indian, n.o.s.",128,   275,"",   115,"",   160,"",
"Ethnic or cultural origin","  Lithuanian",,   285,"",   130,"",   160,"",
"Religion","Total - Religion for the population in private households - 25% sample data",129,562560,"",279540,"",283025,"",
"Religion","  Buddhist",, 10745,"",  4815,"",  5935,"",
"Religion","  Christian",,170115,"", 79175,"", 90940,"",
"Religion","    Christian, n.o.s.",130, 49585,"", 23715,"", 25870,"",
"Religion","    Anabaptist",,  1130,"",   515,"",   615,"",
"Religion","    Anglican",,  7820,"",  3390,"",  4425,"",
"Religion","    Baptist",,  6320,"",  2955,"",  3365,"",
"Religion","    Catholic",, 66280,"", 31015,"", 35270,"",
"Religion","    Christian Orthodox",,  4700,"",  2435,"",  2260,"",
"Religion","    Jehovah's Witness",,  2510,"",  1160,"",  1350,"",
"Religion","    Latter Day Saints",,   930,"",   400,"",   525,"",
"Religion","    Lutheran",,  3210,"",  1315,"",  1895,"",
"Religion","    Methodist and Wesleyan (Holiness)",,   530,"",   255,"",   275,"",
"Religion","    Pentecostal and other Charismatic",,  6030,"",  2725,"",  3300,"",
"Religion","    Presbyterian",,  2810,"",  1265,"",  1545,"",
"Religion","    Reformed",,  1025,"",   480,"",   545,"",
"Religion","    United Church",,  7455,"",  2920,"",  4535,"",
"Religion","    Other Christian and Christian-related traditions",,  9780,"",  4615,"",  5165,"",
"Religion","  Hindu",, 30455,"", 15565,"", 14895,"",
"Religion","  Jewish",,   895,"",   435,"",   465,"",
"Religion","  Muslim",, 31095,"", 15810,"", 15285,"",
"Religion","  Sikh",,154415,"", 77595,"", 76820,"",
"Religion","  Traditional (North American Indigenous) spirituality",,   205,"",    80,"",   125,"",
"Religion","  Other religions and spiritual traditions",,  2775,"",  1215,"",  1555,"",
"Religion","  No religion and secular perspectives",,161855,"", 84855,"", 77005,"",
