"Special Interest Profile, 2021 Census of Population"
"Geography: Burnaby (City), British Columbia [Census subdivision]"
"Ethnic or cultural origin (101): Total - Ethnic or cultural origin"
"Age (8): Total - Age"

"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Ethnic or cultural origin","  Austrian",,  1265,"",   615,"",   645,"",
"Ethnic or cultural origin","  Belgian",,   440,"",   245,"",   190,"",
"Ethnic or cultural origin","  Haitian",,    20,"",     0,"",    15,"",
"Ethnic or cultural origin","  Hindu",,  1395,"",   755,"",   640,"",
"Ethnic or cultural origin","  Mexican",,  2015,"",   985,"",  1035,"",
"Ethnic or cultural origin","  Mennonite",,   315,"",   155,"",   160,"",
"Ethnic or cultural origin","  Swiss",,   520,"",   290,"",   225,"",
"Ethnic or cultural origin","  Finnish",,   765,"",   385,"",   380,"",
"Ethnic or cultural origin","  Sri Lankan",,   455,"",   205,"",   250,"",
"Ethnic or cultural origin","  Croatian",,  2445,"",  1160,"",  1280,"",
"Ethnic or cultural origin","  Japanese",,  4950,"",  2135,"",  2810,"",
"Ethnic or cultural origin","  South Asian, n.o.s.",118,  1320,"",   650,"",   665,"",
"Ethnic or cultural origin","  Mi'kmaq, n.o.s.",119,    70,"",    40,"",    35,"",
"Ethnic or cultural origin","  Northern European, n.o.s.",120,   585,"",   300,"",   280,"",
"Ethnic or cultural origin","  Muslim",,  1020,"",   510,"",   515,"",
"Ethnic or cultural origin","  Egyptian",,   335,"",   180,"",   155,"",
"Ethnic or cultural origin","  Latin, Central or South American, n.o.s.",121,   895,"",   420,"",   475,"",
"Ethnic or cultural origin","  Tamil",,   290,"",   155,"",   130,"",
"Ethnic or cultural origin","  Icelandic",,   465,"",   260,"",   200,"",
"Ethnic or cultural origin","  Colombian",,   620,"",   315,"",   305,"",
"Ethnic or cultural origin","  Moroccan",,   155,"",    80,"",    70,"",
"Ethnic or cultural origin","  Czech",,   670,"",   330,"",   340,"",
"Ethnic or cultural origin","  Syrian",,   635,"",   310,"",   320,"",
"Ethnic or cultural origin","  Guyanese",,   100,"",    55,"",    40,"",
"Ethnic or cultural origin","  Afghan",,  1570,"",   805,"",   760,"",
"Ethnic or cultural origin","  Black, n.o.s.",122,   345,"",   190,"",   155,"",
"Ethnic or cultural origin","  Serbian",,  2225,"",  1205,"",  1015,"",
"Ethnic or cultural origin","  Ojibway",,    75,"",    35,"",    40,"",
"Ethnic or cultural origin","  Newfoundlander",,    75,"",    60,"",    15,"",
"Ethnic or cultural origin","  Hong Konger",,  4290,"",  2125,"",  2160,"",
"Ethnic or cultural origin","  Ontarian",,    35,"",    30,"",     0,"",
"Ethnic or cultural origin","  Persian",,  1450,"",   785,"",   670,"",
"Ethnic or cultural origin","  Trinidadian/Tobagonian",,   230,"",   120,"",   115,"",
"Ethnic or cultural origin","  Turkish",,   650,"",   395,"",   255,"",
"Ethnic or cultural origin","  Inuit, n.o.s.",123,    25,"",    15,"",    15,"",
"Ethnic or cultural origin","  Bangladeshi",,   560,"",   300,"",   265,"",
"Ethnic or cultural origin","  Algerian",,    60,"",    35,"",    20,"",
"Ethnic or cultural origin","  Brazilian",,  1375,"",   720,"",   660,"",
"Ethnic or cultural origin","  Nigerian",,   320,"",   175,"",   150,"",
"Ethnic or cultural origin","  Armenian",,   475,"",   250,"",   225,"",
"Ethnic or cultural origin","  Slovak",,   475,"",   230,"",   245,"",
"Ethnic or cultural origin","  Eastern European, n.o.s.",124,   465,"",   210,"",   255,"",
"Ethnic or cultural origin","  Somali",,   150,"",   100,"",    55,"",
"Ethnic or cultural origin","  Taiwanese",,  7110,"",  3300,"",  3805,"",
"Ethnic or cultural origin","  Iraqi",,   410,"",   230,"",   180,"",
"Ethnic or cultural origin","  Salvadorean",,   390,"",   170,"",   220,"",
"Ethnic or cultural origin","  African Caribbean",,   125,"",    60,"",    65,"",
"Ethnic or cultural origin","  East or Southeast Asian, n.o.s.",125,  1010,"",   480,"",   525,"",
"Ethnic or cultural origin","  West or Central Asian or Middle Eastern, n.o.s.",126,   475,"",   280,"",   195,"",
"Ethnic or cultural origin","  Caribbean, n.o.s.",127,   170,"",   100,"",    70,"",
"Ethnic or cultural origin","  Algonquin",,    40,"",    15,"",    25,"",
"Ethnic or cultural origin","  West Indian, n.o.s.",128,   110,"",    40,"",    70,"",
"Ethnic or cultural origin","  Lithuanian",,   180,"",    85,"",    95,"",
"Religion","Total - Religion for the population in private households - 25% sample data",129,245725,"",121045,"",124680,"",
"Religion","  Buddhist",,  9135,"",  3785,"",  5355,"",
"Religion","  Christian",, 86485,"", 39610,"", 46880,"",
"Religion","    Christian, n.o.s.",130, 22730,"", 10170,"", 12560,"",
"Religion","    Anabaptist",,   665,"",   310,"",   350,"",
"Religion","    Anglican",,  2580,"",  1130,"",  1445,"",
"Religion","    Baptist",,  2275,"",   970,"",  1305,"",
"Religion","    Catholic",, 39995,"", 18515,"", 21485,"",
"Religion","    Christian Orthodox",,  5825,"",  2995,"",  2830,"",
"Religion","    Jehovah's Witness",,  1050,"",   430,"",   620,"",
"Religion","    Latter Day Saints",,   260,"",   135,"",   125,"",
"Religion","    Lutheran",,  1160,"",   515,"",   645,"",
"Religion","    Methodist and Wesleyan (Holiness)",,   440,"",   200,"",   240,"",
"Religion","    Pentecostal and other Charismatic",,  1520,"",   675,"",   850,"",
"Religion","    Presbyterian",,  1200,"",   535,"",   665,"",
"Religion","    Reformed",,   175,"",    60,"",   115,"",
"Religion","    United Church",,  2610,"",  1035,"",  1570,"",
"Religion","    Other Christian and Christian-related traditions",,  3995,"",  1920,"",  2075,"",
"Religion","  Hindu",,  7500,"",  3910,"",  3590,"",
"Religion","  Jewish",,   625,"",   340,"",   280,"",
"Religion","  Muslim",, 13730,"",  6995,"",  6740,"",
"Religion","  Sikh",,  6905,"",  3420,"",  3490,"",
"Religion","  Traditional (North American Indigenous) spirituality",,   125,"",    55,"",    70,"",
"Religion","  Other religions and spiritual traditions",,  2320,"",  1045,"",  1270,"",
"Religion","  No religion and secular perspectives",,118885,"", 61875,"", 57015,"",


Notes:
1,"""Gender"" refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman)."
,"Gender includes the following concepts:"
,"* gender identity, which refers to the gender that a person feels internally and individually;"
,"* gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender."
,"A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time."
,"Some people may not identify with a specific gender."
,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category ""non-binary persons"" are distributed into the other two gender categories and are denoted by the ""+"" symbol."
2,"This category includes men (and/or boys), as well as some non-binary persons."
3,"This category includes women (and/or girls), as well as some non-binary persons."
102,"""Visible minority"" refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as ""persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour."" The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese."
,"In 2021 Census analytical and communications products, the term ""visible minority"" has been replaced by the terms ""racialized population"" or ""racialized groups,"" reflecting the increased use of these terms in the public sphere."
,"For more information on visible minority and population group variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2021."
103,"In 2021 Census analytical and communications products, the term ""visible minority"" has been replaced by the terms ""racialized population"" or ""racialized groups,"" reflecting the increased use of these terms in the public sphere."
104,"The abbreviation ""n.i.e."" means ""not included elsewhere."" This category includes persons who provided responses that are classified as a visible minority, but that cannot be classified with a specific visible minority group. Such responses include, for example, ""Guyanese,"" ""Pacific Islander,"" ""Polynesian,"" ""Tibetan"" and ""West Indian."""
105,"In 2021 Census analytical and communications products, this category is referred to as ""the rest of the population."""
106,"""Ethnic or cultural origin"" refers to the ethnic or cultural origins of the person's ancestors. Ancestors may have Indigenous origins, origins that refer to different countries or other origins that may not refer to different countries."
,"The sum of the ethnic or cultural origins in this table is greater than the total population estimate because a person may report more than one ethnic or cultural origin in the census."
,"The ethnic or cultural origins selected are the most frequently reported at the Canada level."
,"For more information on ethnic or cultural origin variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Ethnic or Cultural Origin Reference Guide, Census of Population, 2021."
107,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating French origins, not otherwise specified (e.g., ""French"")."
108,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating British Isles origins, not otherwise specified (e.g., ""British,"" ""United Kingdom"")."
109,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating Caucasian (White) origins, not otherwise specified (e.g., ""Caucasian"")."
110,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating First Nations (North American Indian) origins, not otherwise specified (e.g., ""First Nations,"" ""North American Indian"")."
111,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating European origins, not otherwise specified (e.g., ""European"")."
112,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating African origins, not otherwise specified (e.g., ""African"")."
113,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating Arab origins, not otherwise specified (e.g., ""Arab"")."
114,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating Asian origins, not otherwise specified (e.g., ""Asian"")."
115,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating Cree origins, not otherwise specified (e.g., ""Cree"")."
116,"The abbreviation ""n.i.e."" means ""not included elsewhere."" This category includes responses indicating Christian origins, not included elsewhere (e.g., ""Christian,"" ""Baptist,"" ""Catholic"")."
117,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating North American Indigenous origins, not otherwise specified (e.g., ""Aboriginal,"" ""Indigenous"")."
118,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating South Asian origins, not otherwise specified (e.g., ""South Asian"")."
119,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating Mi'kmaq origins, not otherwise specified (e.g., ""Mi'kmaq"")."
120,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating Northern European origins, not otherwise specified (e.g., ""Northern European,"" ""Scandinavian"")."
121,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating Latin, Central or South American origins, not otherwise specified (e.g., ""Latin American,"" ""South American"")."
122,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating Black origins, not otherwise specified (e.g., ""Black"")."
123,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating Inuit origins, not otherwise specified (e.g., ""Inuit"")."
124,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating Eastern European origins, not otherwise specified (e.g., ""Eastern European"")."
125,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating East or Southeast Asian origins, not otherwise specified (e.g., ""East Asian,"" ""Southeast Asian"")."
126,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating West or Central Asian or Middle Eastern origins, not otherwise specified (e.g., ""Central Asian,"" ""Middle Eastern,"" ""West Asian"")."
127,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating Caribbean origins, not otherwise specified (e.g., ""Caribbean"")."
128,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses indicating West Indian origins, not otherwise specified (e.g., ""West Indian"")."
129,"""Religion"" refers to the person's self-identification as having a connection or affiliation with any religious denomination, group, body, or other religiously defined community or system of belief. Religion is not limited to formal membership in a religious organization or group."
,"This variable shows the aggregated responses to the religion question."
,"For infants or children, religion refers to the specific religious group or denomination in which they are being raised, if any."
,"Persons without a religious connection or affiliation can self-identify as atheist, agnostic or humanist, or can provide another applicable response."
,"For more information on religion variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Religion Reference Guide, Census of Population, 2021."
130,"The abbreviation ""n.o.s."" means ""not otherwise specified."" This category includes responses of ""Christian,"" not otherwise specified (e.g., ""Christian,"" ""Christianity"")."


Data quality:
"Burnaby"
"Total non-response (TNR) rate, short-form census questionnaire: 2.8%"
"Total non-response (TNR) rate, long-form census questionnaire: 3.5%"


"Source: Statistics Canada, 2021 Census of Population."

How to cite: Statistics Canada. 2024. Special Interest Profile. 2021 Census.
Statistics Canada Catalogue no. 98-26-00092021001. Ottawa. Released March 20  2024.
https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/sip/index.cfm?Lang=E
