"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Ethnic or cultural origin","  Trinidadian/Tobagonian",,   150,"",    80,"",    65,"",
"Ethnic or cultural origin","  Turkish",,   185,"",    80,"",   110,"",
"Ethnic or cultural origin","  Inuit, n.o.s.",123,   110,"",    40,"",    70,"",
"Ethnic or cultural origin","  Bangladeshi",,   140,"",    80,"",    55,"",
"Ethnic or cultural origin","  Algerian",,     0,"",     0,"",     0,"",
"Ethnic or cultural origin","  Brazilian",,   425,"",   185,"",   245,"",
"Ethnic or cultural origin","  Nigerian",,   165,"",    85,"",    80,"",
"Ethnic or cultural origin","  Armenian",,    90,"",    60,"",    30,"",
"Ethnic or cultural origin","  Slovak",,   695,"",   360,"",   330,"",
"Ethnic or cultural origin","  Eastern European, n.o.s.",124,   560,"",   245,"",   315,"",
"Ethnic or cultural origin","  Somali",,    30,"",    20,"",    10,"",
"Ethnic or cultural origin","  Taiwanese",,   190,"",   105,"",    90,"",
"Ethnic or cultural origin","  Iraqi",,    40,"",    25,"",    15,"",
"Ethnic or cultural origin","  Salvadorean",,   110,"",    70,"",    40,"",
"Ethnic or cultural origin","  African Caribbean",,    70,"",    25,"",    40,"",
"Ethnic or cultural origin","  East or Southeast Asian, n.o.s.",125,   175,"",    70,"",   110,"",
"Ethnic or cultural origin","  West or Central Asian or Middle Eastern, n.o.s.",126,    90,"",    60,"",    35,"",
"Ethnic or cultural origin","  Caribbean, n.o.s.",127,   100,"",    55,"",    45,"",
"Ethnic or cultural origin","  Algonquin",,    95,"",    50,"",    45,"",
"Ethnic or cultural origin","  West Indian, n.o.s.",128,    75,"",    30,"",    50,"",
"Ethnic or cultural origin","  Lithuanian",,   225,"",   105,"",   120,"",
"Religion","Total - Religion for the population in private households - 25% sample data",129,218525,"",106880,"",111650,"",
"Religion","  Buddhist",,  1145,"",   490,"",   655,"",
"Religion","  Christian",, 88195,"", 39615,"", 48575,"",
"Religion","    Christian, n.o.s.",130, 22995,"", 10790,"", 12205,"",
"Religion","    Anabaptist",,  1210,"",   570,"",   635,"",
"Religion","    Anglican",,  6905,"",  3005,"",  3900,"",
"Religion","    Baptist",,  4125,"",  1830,"",  2295,"",
"Religion","    Catholic",, 26940,"", 12080,"", 14855,"",
"Religion","    Christian Orthodox",,  1510,"",   745,"",   760,"",
"Religion","    Jehovah's Witness",,  1685,"",   735,"",   945,"",
"Religion","    Latter Day Saints",,   730,"",   325,"",   405,"",
"Religion","    Lutheran",,  4005,"",  1725,"",  2285,"",
"Religion","    Methodist and Wesleyan (Holiness)",,   295,"",   105,"",   190,"",
"Religion","    Pentecostal and other Charismatic",,  2140,"",   960,"",  1180,"",
"Religion","    Presbyterian",,  1175,"",   505,"",   675,"",
"Religion","    Reformed",,   220,"",   115,"",   110,"",
"Religion","    United Church",,  8675,"",  3640,"",  5035,"",
"Religion","    Other Christian and Christian-related traditions",,  5575,"",  2475,"",  3105,"",
"Religion","  Hindu",,  1270,"",   675,"",   600,"",
"Religion","  Jewish",,   725,"",   375,"",   350,"",
"Religion","  Muslim",,  1755,"",   970,"",   790,"",
"Religion","  Sikh",,  4205,"",  2050,"",  2150,"",
"Religion","  Traditional (North American Indigenous) spirituality",,   190,"",    95,"",    95,"",
"Religion","  Other religions and spiritual traditions",,  2095,"",   820,"",  1275,"",
"Religion","  No religion and secular perspectives",,118945,"", 61795,"", 57150,"",
