"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Ethnic or cultural origin","  Hindu",,  1395,"",   755,"",   640,"",
"Ethnic or cultural origin","  Mexican",,  2015,"",   985,"",  1035,"",
"Ethnic or cultural origin","  Mennonite",,   315,"",   155,"",   160,"",
"Ethnic or cultural origin","  Swiss",,   520,"",   290,"",   225,"",
"Ethnic or cultural origin","  Finnish",,   765,"",   385,"",   380,"",
"Ethnic or cultural origin","  Sri Lankan",,   455,"",   205,"",   250,"",
"Ethnic or cultural origin","  Croatian",,  2445,"",  1160,"",  1280,"",
"Ethnic or cultural origin","  Japanese",,  4950,"",  2135,"",  2810,"",
"Ethnic or cultural origin","  South Asian, n.o.s.",118,  1320,"",   650,"",   665,"",
"Ethnic or cultural origin","  Mi'kmaq, n.o.s.",119,    70,"",    40,"",    35,"",
"Ethnic or cultural origin","  Northern European, n.o.s.",120,   585,"",   300,"",   280,"",
"Ethnic or cultural origin","  Muslim",,  1020,"",   510,"",   515,"",
"Ethnic or cultural origin","  Egyptian",,   335,"",   180,"",   155,"",
"Ethnic or cultural origin","  Latin, Central or South American, n.o.s.",121,   895,"",   420,"",   475,"",
"Ethnic or cultural origin","  Tamil",,   290,"",   155,"",   130,"",
"Ethnic or cultural origin","  Icelandic",,   465,"",   260,"",   200,"",
"Ethnic or cultural origin","  Colombian",,   620,"",   315,"",   305,"",
"Ethnic or cultural origin","  Moroccan",,   155,"",    80,"",    70,"",
"Ethnic or cultural origin","  Czech",,   670,"",   330,"",   340,"",
"Ethnic or cultural origin","  Syrian",,   635,"",   310,"",   320,"",
"Ethnic or cultural origin","  Guyanese",,   100,"",    55,"",    40,"",
"Ethnic or cultural origin","  Afghan",,  1570,"",   805,"",   760,"",
"Ethnic or cultural origin","  Black, n.o.s.",122,   345,"",   190,"",   155,"",
"Ethnic or cultural origin","  Serbian",,  2225,"",  1205,"",  1015,"",
"Ethnic or cultural origin","  Ojibway",,    75,"",    35,"",    40,"",
"Ethnic or cultural origin","  Newfoundlander",,    75,"",    60,"",    15,"",
"Ethnic or cultural origin","  Hong Konger",,  4290,"",  2125,"",  2160,"",
"Ethnic or cultural origin","  Ontarian",,    35,"",    30,"",     0,"",
"Ethnic or cultural origin","  Persian",,  1450,"",   785,"",   670,"",
"Ethnic or cultural origin","  Trinidadian/Tobagonian",,   230,"",   120,"",   115,"",
"Ethnic or cultural origin","  Turkish",,   650,"",   395,"",   255,"",
"Ethnic or cultural origin","  Inuit, n.o.s.",123,    25,"",    15,"",    15,"",
"Ethnic or cultural origin","  Bangladeshi",,   560,"",   300,"",   265,"",
"Ethnic or cultural origin","  Algerian",,    60,"",    35,"",    20,"",
"Ethnic or cultural origin","  Brazilian",,  1375,"",   720,"",   660,"",
"Ethnic or cultural origin","  Nigerian",,   320,"",   175,"",   150,"",
"Ethnic or cultural origin","  Armenian",,   475,"",   250,"",   225,"",
"Ethnic or cultural origin","  Slovak",,   475,"",   230,"",   245,"",
"Ethnic or cultural origin","  Eastern European, n.o.s.",124,   465,"",   210,"",   255,"",
"Ethnic or cultural origin","  Somali",,   150,"",   100,"",    55,"",
"Ethnic or cultural origin","  Taiwanese",,  7110,"",  3300,"",  3805,"",
"Ethnic or cultural origin","  Iraqi",,   410,"",   230,"",   180,"",
"Ethnic or cultural origin","  Salvadorean",,   390,"",   170,"",   220,"",
"Ethnic or cultural origin","  African Caribbean",,   125,"",    60,"",    65,"",
"Ethnic or cultural origin","  East or Southeast Asian, n.o.s.",125,  1010,"",   480,"",   525,"",
"Ethnic or cultural origin","  West or Central Asian or Middle Eastern, n.o.s.",126,   475,"",   280,"",   195,"",
"Ethnic or cultural origin","  Caribbean, n.o.s.",127,   170,"",   100,"",    70,"",
"Ethnic or cultural origin","  Algonquin",,    40,"",    15,"",    25,"",
"Ethnic or cultural origin","  West Indian, n.o.s.",128,   110,"",    40,"",    70,"",
"Ethnic or cultural origin","  Lithuanian",,   180,"",    85,"",    95,"",
